ring,tag1,tag2,model,var,avg1,avg2,diff,t,d,g,delta,p,fname1,fname2,combi
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,Jmax25,133.3233473428452,135.6463077795358,-2.323,-45.3117,-0.2691,-0.2691,-0.1903,0.0,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,Pleaf,-1.2248727006742235,-1.2287498019614664,0.0039,0.9402,0.0056,0.0056,0.0056,0.3471,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,Ps,-0.17453025422141388,-0.17053285533667972,-0.004,-1.5416,-0.0092,-0.0092,-0.009000000000000001,0.1232,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,Tleaf,18.35952927607132,18.36031490551974,-0.0008,-0.0142,-0.0001,-0.0001,-0.0001,0.9886,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,Vmax25,85.22726405313036,83.9939486199092,1.2333,45.3117,0.2691,0.2691,0.1903,0.0,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,WUE,6.4826488607824615,6.5785857439297,-0.0959,-2.2051,-0.0141,-0.0141,-0.0141,0.0274,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,gs,0.09242309674072036,0.092812985707114,-0.0004,-0.97,-0.0058,-0.0058,-0.0058,0.3321,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,ksc,1.8449517061523992,1.845861149613785,-0.0009,-3.7086,-0.022000000000000002,-0.022000000000000002,-0.0203,0.0002,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,sw,0.1967774326590613,0.19675869162899234,0.0,0.0631,0.0004,0.0004,0.0004,0.9497,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,An,5.961379635176322,5.9553098800808,0.0061,0.2712,0.0016,0.0016,0.0016,0.7863,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,Ci,27.17566883383435,27.09863647580634,0.077,0.8256,0.0049,0.0049,0.0049,0.4091,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,E,1.2237424907773922,1.1983968781776395,0.0253,5.1982,0.0309,0.0309,0.0305,0.0,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,Es,0.09684242467849236,0.0982945262790336,-0.0015,-1.1533,-0.0068,-0.0068,-0.0069,0.2488,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,Jmax25,135.6463077795358,135.6463077795358,0.0,0.0,0.0,0.0,0.0,1.0,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-Leg14,P-DSH-F-Rlow,pmax,Pleaf,-1.2769487761635734,-1.2287498019614664,-0.0482,-11.4483,-0.068,-0.068,-0.0666,0.0,EucFACER1_P-DSH-F-Rlow-Leg14.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-Leg14_P-DSH-F-Rlow
